Date,Stage,Stack,Nucleus,Time,TrackID,ID,Position.X,Position.Y,Position.Z,Seconds,Volume.spot,Nucleus.number,Condition
10.25,1k,5,3,1,1004806018,4806018,-3655.587,-1808.356,4293.696,0,0.421,1,DeltaC
10.25,1k,5,3,1,1004817435,4817435,-3660.173,-1806.933,4296.108,0,0.254,1,DeltaC
10.25,1k,5,3,1,1004817435,4824922,-3660.035,-1806.447,4296.303,0,0.073,1,DeltaC
10.25,1k,5,3,2,1004806018,4880275,-3656.321,-1808.05,4293.883,15,0.392,1,DeltaC
10.25,1k,5,3,2,,4890900,-3660.903,-1806.931,4295.373,15,0.004,1,DeltaC
10.25,1k,5,3,2,1004817435,4891163,-3660.604,-1806.983,4295.746,15,0.399,1,DeltaC
10.25,1k,5,3,3,1004806018,4954365,-3656.926,-1808.418,4293.949,30,0.381,1,DeltaC
10.25,1k,5,3,3,1004817435,4965226,-3661.255,-1807.159,4295.889,30,0.53,1,DeltaC
10.25,1k,5,3,4,1004806018,5028314,-3656.735,-1808.041,4293.602,45,0.352,1,DeltaC
10.25,1k,5,3,4,1004817435,5047095,-3660.548,-1806.331,4296.016,45,0.12,1,DeltaC
10.25,1k,5,3,4,1004817435,5047493,-3660.396,-1806.377,4296.558,45,0.16,1,DeltaC
10.25,1k,5,3,5,1004806018,5102338,-3655.986,-1807.557,4293.44,60,0.45,1,DeltaC
10.25,1k,5,3,5,1004817435,5121758,-3660.312,-1806.022,4296.412,60,0.189,1,DeltaC
10.25,1k,5,3,6,1004806018,5176703,-3655.403,-1807.096,4293.25,75,0.294,1,DeltaC
10.25,1k,5,3,6,1004817435,5188363,-3659.778,-1806.771,4296.137,75,0.341,1,DeltaC
10.25,1k,5,3,7,1004806018,5251457,-3655.15,-1806.749,4293.576,90,0.367,1,DeltaC
10.25,1k,5,3,7,1004817435,5270389,-3659.4,-1806.301,4296.384,90,0.341,1,DeltaC
10.25,1k,5,3,8,1004806018,5325846,-3654.855,-1806.913,4293.94,105,0.338,1,DeltaC
10.25,1k,5,3,8,1004817435,5344717,-3659.721,-1805.971,4296.319,105,0.345,1,DeltaC
10.25,1k,5,3,9,1004806018,5400413,-3655.043,-1807.073,4293.854,120,0.338,1,DeltaC
